Description	Expression	Age	Developmental stage	Organism part	Treatment	Label
Carpel of 6th and 7th flowers (POD.y6-7)	3.76718	NA	abscission of the first flower	Carpel	NA	GeneProduct3
Carpels of the mature flower (F.CA.ad)	3.6134	NA	anthesis of the first flower	Carpel	NA	GeneProduct3
Heat 24 hours	3.60994	21 day	NA	Leaf Heat 24 hours	heat	GeneProduct3
Pedicel (PED)	3.59424	NA	anthesis of the first flower	Pedicel	NA	GeneProduct3
Flower 3 (F3)	3.42611	NA	anthesis of the first flower	Flower 3	NA	GeneProduct3
Flower 5 (F5)	3.40056	NA	anthesis of the first flower	Flower 5	NA	GeneProduct3
Germinating seeds 1 (SD.g1)	3.31069	1 day after soaking	NA	Seed	NA	GeneProduct3
Flower 4 (F4)	3.24373	NA	anthesis of the first flower	Flower 4	NA	GeneProduct3
Silique 6 (SL6)	3.1352	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 6	NA	GeneProduct3
Flowers 12-14 (F12-14)	3.1026	NA	anthesis of the first flower	Flower 12-14	NA	GeneProduct3
Flowers 6-8 (F6-8)	3.09485	NA	anthesis of the first flower	Flower 6-8	NA	GeneProduct3
Axis of the inflorescence (AX)	3.0839	NA	anthesis of the first flower	Inflorescence axis	NA	GeneProduct3
Stamen filaments of the mature flower (F.FM.ad)	3.04222	NA	anthesis of the first flower	Stamen filament	NA	GeneProduct3
Sepals of the young flower (F.SP.y)	3.04148	NA	stage 9	Young sepal	NA	GeneProduct3
Internode (IN)	2.94204	NA	anthesis of the first flower	Internode	NA	GeneProduct3
Silique 8 (SL8)	2.89795	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 8	NA	GeneProduct3
Flowers 15-18 (F15-18)	2.60128	NA	anthesis of the first flower	Flower 15-18	NA	GeneProduct3
Wounding 1 hour	2.48957	21 day	NA	Leaf Wounding 1 hour	wounding	GeneProduct3
Flowers 9-11 (F9-11)	2.42838	NA	anthesis of the first flower	Flower 9-11	NA	GeneProduct3
Heat 12 hours	2.41716	21 day	NA	Leaf Heat 12 hours	heat	GeneProduct3
Cold 6 hours	2.34294	21 day	NA	Leaf Cold 6 hours	cold	GeneProduct3
Flowers 19 and following (F19+)	2.27286	NA	anthesis of the first flower	Inflorescence	NA	GeneProduct3
Wounding 12 hours	2.21594	21 day	NA	Leaf Wounding 12 hours	wounding	GeneProduct3
Anthers of the young flower (F.AN.y)	2.01617	NA	stage 9	Young anther	NA	GeneProduct3
Cold 1 hour	1.9857	21 day	NA	Leaf Cold 1 hour	cold	GeneProduct3
Cold 3 hours	1.9619	21 day	NA	Leaf Cold 3 hours	cold	GeneProduct3
Seedling Hypocotyl (S.H)	1.95876	1 day	NA	Hypocotyl	NA	GeneProduct3
Anthers of the mature flower (F.AN.ad)	1.94464	NA	anthesis of the first flower	Anther before opening	NA	GeneProduct3
Carpels of the young flower (F.CA.y)	1.86525	NA	stage 9	Young carpel	NA	GeneProduct3
Wounding 48 hours	1.81604	21 day	NA	Leaf Wounding 48 hours	wounding	GeneProduct3
Seedling Cotyledons (S.C)	1.81082	1 day	NA	Cotyledon	NA	GeneProduct3
Heat 3 hours	1.79649	21 day	NA	Leaf Heat 3 hours	heat	GeneProduct3
Heat 6 hours	1.77573	21 day	NA	Leaf Heat 6 hours	heat	GeneProduct3
Wounding 6 hours	1.67212	21 day	NA	Leaf Wounding 6 hours	wounding	GeneProduct3
Germinating seeds 2 (SD.g2)	1.56911	2 day after soaking	NA	Seed	NA	GeneProduct3
Heat 1 hour	1.54323	21 day	NA	Leaf Heat 1 hour	heat	GeneProduct3
Wounding 24 hours	1.50412	21 day	NA	Leaf Wounding 24 hours	wounding	GeneProduct3
Wounding 3 hours	1.47776	21 day	NA	Leaf Wounding 3 hours	wounding	GeneProduct3
Seeds 5 (SD5)	1.4642	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 5	NA	GeneProduct3
Germinating seeds 3 (SD.g3)	1.421	3 day after soaking	NA	Seed	NA	GeneProduct3
"Leaf Lamina, intermediate 2 (L.LAM.i2)"	1.31962	12 day	NA	Leaf blade	NA	GeneProduct3
Seeds 1 (SD1)	1.31318	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 1	NA	GeneProduct3
Seeds 7 (SD7)	1.27619	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 7	NA	GeneProduct3
Young seeds 3 (SD.y3)	1.25264	NA	abscission of the first flower	Seed from silique 3	NA	GeneProduct3
"Leaf Petiole, intermediate 2 (L.PET.i2)"	1.09787	12 day	NA	Leaf petiole	NA	GeneProduct3
"Leaf Vein, intermediate 2 (L.VN.i2)"	1.09182	12 day	NA	Leaf midrib	NA	GeneProduct3
Young seeds 2 (SD.y2)	1.08602	NA	abscission of the first flower	Seed from silique 2	NA	GeneProduct3
Ovules from 6th and 7th flowers (OV.y6-7)	1.07957	NA	abscission of the first flower	Ovule	NA	GeneProduct3
Stigmatic tissue (STI)	1.00455	NA	abscission of the first flower	Stigma	NA	GeneProduct3
Seeds 3 (SD3)	0.99119	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 3	NA	GeneProduct3
Young seeds 1 (SD.y1)	0.898269	NA	abscission of the first flower	Seed from silique 1	NA	GeneProduct3
Young seeds 4 (SD.y4)	0.845585	NA	abscission of the first flower	Seed from silique 4	NA	GeneProduct3
Seedling Meristem (S.M)	0.69395	1 day	NA	Shoot apical meristem	NA	GeneProduct3
Leaf Petiole of the young leaf (L.PET.y)	0.609104	7 day	NA	Leaf petiole	NA	GeneProduct3
Root (R )	0.583594	7 day	NA	Root	NA	GeneProduct3
Leaf Lamina of the young leaf (L.LAM.y)	0.565116	7 day	NA	Leaf blade	NA	GeneProduct3
Young seeds 5 (SD.y5)	0.532831	NA	abscission of the first flower	Seed from silique 5	NA	GeneProduct3
"Leaf Petiole, intermediate 1 (L.PET.i1)"	0.418574	9 day	NA	Leaf petiole	NA	GeneProduct3
Seedling Root (S.R)	0.360741	1 day	NA	Root	NA	GeneProduct3
"Leaf Lamina, intermediate 1 (L.LAM.i1)"	0.262409	9 day	NA	Leaf blade	NA	GeneProduct3
Root Apex (R.A)	0.159861	7 day	NA	Root Apex	NA	GeneProduct3
Petals of the mature flower (F.PT.ad)	5.35309	NA	anthesis of the first flower	Petal	NA	GeneProduct4
Stigmatic tissue (STI)	5.10907	NA	abscission of the first flower	Stigma	NA	GeneProduct4
Stamen filaments of the mature flower (F.FM.ad)	5.10846	NA	anthesis of the first flower	Stamen filament	NA	GeneProduct4
Seeds 1 (SD1)	5.08415	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 1	NA	GeneProduct4
Ovules from 6th and 7th flowers (OV.y6-7)	4.96902	NA	abscission of the first flower	Ovule	NA	GeneProduct4
Carpels of the young flower (F.CA.y)	4.82955	NA	stage 9	Young carpel	NA	GeneProduct4
Young seeds 4 (SD.y4)	4.81215	NA	abscission of the first flower	Seed from silique 4	NA	GeneProduct4
Young seeds 3 (SD.y3)	4.78975	NA	abscission of the first flower	Seed from silique 3	NA	GeneProduct4
Young seeds 2 (SD.y2)	4.70797	NA	abscission of the first flower	Seed from silique 2	NA	GeneProduct5
Young seeds 1 (SD.y1)	4.69876	NA	abscission of the first flower	Seed from silique 1	NA	GeneProduct5
Flowers 19 and following (F19+)	4.68494	NA	anthesis of the first flower	Inflorescence	NA	GeneProduct5
Carpel of 6th and 7th flowers (POD.y6-7)	4.6501	NA	abscission of the first flower	Carpel	NA	GeneProduct5
Silique 2 (SL2)	4.63029	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 2	NA	GeneProduct5
Young seeds 5 (SD.y5)	4.55149	NA	abscission of the first flower	Seed from silique 5	NA	GeneProduct5
Carpels of the mature flower (F.CA.ad)	4.52259	NA	anthesis of the first flower	Carpel	NA	Metabolite2
Flower 2 (F2)	4.45233	NA	anthesis of the first flower	Flower 2	NA	Metabolite2
Flowers 12-14 (F12-14)	4.44739	NA	anthesis of the first flower	Flower 12-14	NA	Metabolite2
Seeds 5 (SD5)	4.39356	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 5	NA	Metabolite2
Axis of the inflorescence (AX)	4.37372	NA	anthesis of the first flower	Inflorescence axis	NA	Metabolite2
Flowers 15-18 (F15-18)	4.35329	NA	anthesis of the first flower	Flower 15-18	NA	Metabolite3
Flowers 6-8 (F6-8)	4.32287	NA	anthesis of the first flower	Flower 6-8	NA	Metabolite3
Root Apex (R.A)	4.30961	7 day	NA	Root Apex	NA	Metabolite3
Seeds 3 (SD3)	4.30396	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 3	NA	Metabolite3
Seedling Root (S.R)	4.30136	1 day	NA	Root	NA	Metabolite3
Senescent internode (IN.sn)	4.29411	NA	first silique was yellow and ready to open	Internode	NA	Metabolite3
Anthers of the young flower (F.AN.y)	4.26862	NA	stage 9	Young anther	NA	Metabolite4
Root (R )	4.24325	7 day	NA	Root	NA	Metabolite4
Pod of the silique 1 (POD1)	4.23582	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 1	NA	Metabolite4
Germinating seeds 1 (SD.g1)	4.22471	1 day after soaking	NA	Seed	NA	Metabolite4
Flower 5 (F5)	4.22374	NA	anthesis of the first flower	Flower 5	NA	Metabolite4
Flower 4 (F4)	4.20652	NA	anthesis of the first flower	Flower 4	NA	Metabolite5
Flowers 9-11 (F9-11)	4.17574	NA	anthesis of the first flower	Flower 9-11	NA	Metabolite5
Leaf Petiole of the mature leaf (L.PET.lg)	4.15299	NA	anthesis of the first flower	Leaf petiole	NA	Metabolite5
Leaf Vein of the mature leaf (L.VN.lg)	4.15236	NA	anthesis of the first flower	Leaf midrib	NA	Metabolite5
Sepals of the mature flower (F.SP.ad)	4.15024	NA	anthesis of the first flower	Sepal	NA	Metabolite5
Flower 3 (F3)	4.13981	NA	anthesis of the first flower	Flower 3	NA	Metabolite5
Silique 4 (SL4)	4.13753	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 4	NA	Metabolite5
Internode (IN)	4.09779	NA	anthesis of the first flower	Internode	NA	Metabolite6
Leaf Lamina of the mature leaf (L.LAM.lg)	4.08673	NA	anthesis of the first flower	Leaf blade	NA	Metabolite6
Leaf Petiole of the young leaf (L.PET.y)	4.08377	7 day	NA	Leaf petiole	NA	Metabolite6
Pod of the silique 3 (POD3)	4.08084	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 3	NA	Metabolite6
"Leaf, mature (L.lg)"	4.06104	NA	anthesis of the first flower	Leaf	NA	Metabolite6
Flower 1 (F1)	4.05808	NA	anthesis of the first flower	Flower 1	NA	Metabolite6
Pedicel (PED)	4.03078	NA	anthesis of the first flower	Pedicel	NA	Metabolite6
Seeds 7 (SD7)	3.96609	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 7	NA	Metabolite6
Germinating seeds 2 (SD.g2)	3.93897	2 day after soaking	NA	Seed	NA	Metabolite7
Leaf Petiole of the senescent leaf (L.PET.sn)	3.93296	NA	first silique was yellow and ready to open	Leaf petiole	NA	Metabolite7
Sepals of the young flower (F.SP.y)	3.91895	NA	stage 9	Young sepal	NA	Metabolite7
"Leaf Petiole, intermediate 1 (L.PET.i1)"	3.90349	9 day	NA	Leaf petiole	NA	Metabolite7
Germinating seeds 3 (SD.g3)	3.89212	3 day after soaking	NA	Seed	NA	Metabolite7
Pod of the senescent silique 1 (POD.sn1)	3.89048	NA	first silique was yellow and ready to open	Pod	NA	Metabolite7
Silique 6 (SL6)	3.86945	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 6	NA	Metabolite7
Silique 8 (SL8)	3.85952	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 8	NA	Metabolite7
Leaf Lamina of the young leaf (L.LAM.y)	3.84773	7 day	NA	Leaf blade	NA	GeneProduct1
Seedling Hypocotyl (S.H)	3.80795	1 day	NA	Hypocotyl	NA	GeneProduct1
Cold 24 hours	3.80291	21 day	NA	Leaf Cold 24 hours	cold	GeneProduct1
Leaf Vein of the senescent leaf (L.VN.sn)	3.79288	NA	first silique was yellow and ready to open	Leaf midrib	NA	GeneProduct1
"Leaf Petiole, intermediate 2 (L.PET.i2)"	3.77229	12 day	NA	Leaf petiole	NA	GeneProduct1
Pod of the silique 5 (POD5)	3.7431	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 5	NA	GeneProduct1
Pod of the silique 7 (POD7)	3.68125	NA	first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 7	NA	GeneProduct1
Wounding 48 hours	3.61441	21 day	NA	Leaf Wounding 48 hours	wounding	GeneProduct1
"Leaf Vein, intermediate 2 (L.VN.i2)"	3.50595	12 day	NA	Leaf midrib	NA	GeneProduct1
"Leaf Lamina, intermediate 1 (L.LAM.i1)"	3.50578	9 day	NA	Leaf blade	NA	GeneProduct1
Wounding 12 hours	3.46228	21 day	NA	Leaf Wounding 12 hours	wounding	GeneProduct1
Cold 1 hour	3.45049	21 day	NA	Leaf Cold 1 hour	cold	GeneProduct1
Cold 12 hours	3.44348	21 day	NA	Leaf Cold 12 hours	cold	GeneProduct1
Senescent silique 2 (SL.sn2)	3.34958	NA	first silique was yellow and ready to open	Silique	NA	GeneProduct1
Cold 3 hours	3.31094	21 day	NA	Leaf Cold 3 hours	cold	GeneProduct1
Heat 6 hours	3.29993	21 day	NA	Leaf Heat 6 hours	heat	GeneProduct1
Wounding 1 hour	3.28769	21 day	NA	Leaf Wounding 1 hour	wounding	GeneProduct1
Wounding 24 hours	3.28212	21 day	NA	Leaf Wounding 24 hours	wounding	GeneProduct1
Wounding 3 hours	3.28089	21 day	NA	Leaf Wounding 3 hours	wounding	GeneProduct1
"Leaf Lamina, intermediate 2 (L.LAM.i2)"	3.2709	12 day	NA	Leaf blade	NA	GeneProduct1
Wounding 6 hours	3.26375	21 day	NA	Leaf Wounding 6 hours	wounding	GeneProduct1
Cold 6 hours	3.23937	21 day	NA	Leaf Cold 6 hours	cold	GeneProduct1
Heat 12 hours	3.22128	21 day	NA	Leaf Heat 12 hours	heat	GeneProduct1
Heat 3 hours	3.21753	21 day	NA	Leaf Heat 3 hours	heat	GeneProduct1
Seeds from the senescent silique 1 (SD.sn1)	3.18562	NA	first silique was yellow and ready to open	Seed	NA	GeneProduct1
Seedling Cotyledons (S.C)	3.17472	1 day	NA	Cotyledon	NA	GeneProduct1
Dry Seeds (SD.d)	3.17395	NA	Dry seeds	Seed	NA	GeneProduct1
Heat 24 hours	2.9916	21 day	NA	Leaf Heat 24 hours	heat	GeneProduct1
Heat 1 hour	2.82275	21 day	NA	Leaf Heat 1 hour	heat	GeneProduct1
Seedling Meristem (S.M)	2.74766	1 day	NA	Shoot apical meristem	NA	GeneProduct1
Opened Anthers (F.AN)	2.4051	NA	anthesis of the first flower	Opened Anther	NA	GeneProduct1
Anthers of the mature flower (F.AN.ad)	2.33622	NA	anthesis of the first flower	Anther before opening	NA	GeneProduct1

